IMPACT	COUNT	PERCENT_TOTAL	PERCENT_NO_MODIFIER
MODIFIER	3088465	96.95	-
LOW	67708	2.13	69.71437985214473
MODERATE	29032	0.91	29.892300405675336
HIGH	382	0.01	0.39331974217993865
