IMPACT	COUNT	PERCENT_TOTAL	PERCENT_NO_MODIFIER
MODIFIER	3092329	97.07	-
LOW	63707	2.00	68.31263805786098
MODERATE	29264	0.92	31.379613545218643
HIGH	287	0.01	0.3077483969203714
