Sample	FRoH	Length	nRoH
BU04	0.048104	68471016	26
BU1031	0.031793	45253252	16
CW2212	0.037130	52850600	20
WB13	0.018670	26575203	10
WB20	0.052149	74227951	24
WE2430	0.073358	104417439	36
WE2431	0.047348	67395266	24
DN26	0.041064	58450343	20
VR14	0.028665	40801465	16
MI21	0.003345	4760561	2
PZ29	0.006878	9790292	3
LI04	0.002922	4158968	2
FC11	0.017006	24206618	8
