Sample	FRoH	Length	nRoH
BU04	0.192236	273627135	238
BU1031	0.183032	260525573	247
CW2212	0.117965	167910478	148
WB13	0.062992	89662298	80
WB20	0.155186	220889955	168
WE2430	0.205233	292126017	228
WE2431	0.170903	243260762	202
DN26	0.174664	248614597	221
VR14	0.114012	162282897	152
MI21	0.043421	61805034	79
PZ29	0.042001	59783585	62
LI04	0.011242	16001226	16
FC11	0.062368	88774417	82
