Sample	FRoH	Length	nRoH
BB10	0.023644	33654952	12
BB13	0.077868	110839341	36
DL23523	0.066694	94934812	32
DL2524	0.060429	86016869	26
VT27	0.118914	169265900	57
VT29	0.094984	135203796	46
WS04	0.066774	95048819	33
WS05	0.109478	155834582	48
NF24	0.117195	166819220	55
NF30	0.116331	165589923	51
SH2514	0.023587	33574290	11
SH2515	0.085342	121478112	36
GC30	0.000000	0	0
CA14	0.000000	0	0
CE29	0.006630	9436919	3
FU14	0.001861	2649428	1
MM27	0.000000	0	0
VG21	0.005096	7253946	3
